Year Published,Unit Code,Unit Name,Item,Item Description,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2011 Target,2013 Target
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2574,    G&C Illinois Exp  (000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2575,    G&C Pvt & Othr Exp(000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2590,  Gifts & Endwmnt Exp (000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2594,    Gifts Exp         (000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2596,    Endowment Exp     (000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2610,  SelfS/FWS/LandGr Exp(000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2614,    Self-Supportng Exp(000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2616,    Fed Work Study Exp(000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-425,Civil & Env Eng Res Center,2617,    Land Grant App Exp(000) ,,,,,,,,,0,,,
FY2013,1B1-KP-KP0-434,Computer Science,2000,Orig State/Tuition Bdgt(000) ,10838,10325,9676,9358,8665,8812,8969,8519,7791,6933,,
FY2013,1B1-KP-KP0-434,Computer Science,2015,  St Budget - Constant $000 ,4630,4537,4377,4318,4036,4163,4394,4281,4064,3725,,
FY2013,1B1-KP-KP0-434,Computer Science,2050,    Acad Salary Budget ,8670,8157,7546,7228,6503,6453,6657,6446,5777,4864,,
FY2013,1B1-KP-KP0-434,Computer Science,2060,    Asst Salary Budget ,1373,1373,1335,1335,1366,1347,1316,1279,1223,1228,,
FY2013,1B1-KP-KP0-434,Computer Science,2070,    Non-Ac Salaries Budget ,700,700,700,700,700,718,701,415,405,405,,
FY2013,1B1-KP-KP0-434,Computer Science,2080,    Wage Budget ,0,0,0,0,0,32,32,116,116,160,,
FY2013,1B1-KP-KP0-434,Computer Science,2090,    Summer Wages Budget ,95,95,95,95,95,95,95,95,95,115,,
FY2013,1B1-KP-KP0-434,Computer Science,2100,    Expense & Equip Bdgt ,0,0,0,0,0,168,168,168,175,162,,
FY2013,1B1-KP-KP0-434,Computer Science,2530,  State/Tuition Exp   (000) ,,10263,10036,9850,9522,9780,9647,9365,8564,7750,,
FY2013,1B1-KP-KP0-434,Computer Science,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-434,Computer Science,2534,      Instruction     (000) ,,9498,9264,8953,8847,9131,8660,8415,7740,7066,,
FY2013,1B1-KP-KP0-434,Computer Science,2535,      Research        (000) ,,673,656,760,558,505,782,888,795,646,,
FY2013,1B1-KP-KP0-434,Computer Science,2536,      Public Service  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-434,Computer Science,2537,      Academic Support(000) ,,21,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-434,Computer Science,2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-434,Computer Science,2539,      Institutl Supprt(000) ,,71,116,137,117,144,205,62,29,38,,
FY2013,1B1-KP-KP0-434,Computer Science,2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-434,Computer Science,2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-434,Computer Science,2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-434,Computer Science,2550,  Institutional Exp   (000) ,,1282,1648,1709,2068,1875,2059,2026,1650,1317,,
FY2013,1B1-KP-KP0-434,Computer Science,2553,    ICR Direct Exp    (000) ,,1188,1463,1619,2062,1843,2024,1988,1611,1307,,
FY2013,1B1-KP-KP0-434,Computer Science,2554,    Royalty/Patent Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-434,Computer Science,2555,    Educ/Admn Allw Exp(000) ,,94,184,90,6,32,35,39,39,10,,
FY2013,1B1-KP-KP0-434,Computer Science,2570,  Grants & Contr Exp  (000) ,,12321,13262,12329,11532,8060,7727,8826,8510,9401,,
FY2013,1B1-KP-KP0-434,Computer Science,2573,    G&C Federal Exp   (000) ,,10383,11055,9706,9218,7115,7195,8086,8174,9229,,
FY2013,1B1-KP-KP0-434,Computer Science,2574,    G&C Illinois Exp  (000) ,,-1,44,111,65,46,18,232,106,66,,
FY2013,1B1-KP-KP0-434,Computer Science,2575,    G&C Pvt & Othr Exp(000) ,,1940,2163,2513,2249,899,514,507,229,106,,
FY2013,1B1-KP-KP0-434,Computer Science,2590,  Gifts & Endwmnt Exp (000) ,,1146,1035,1128,985,1052,1217,876,738,851,,
FY2013,1B1-KP-KP0-434,Computer Science,2594,    Gifts Exp         (000) ,,1138,1013,1102,1004,1074,1240,911,745,859,,
FY2013,1B1-KP-KP0-434,Computer Science,2596,    Endowment Exp     (000) ,,8,23,27,-19,-22,-24,-35,-7,-8,,
FY2013,1B1-KP-KP0-434,Computer Science,2610,  SelfS/FWS/LandGr Exp(000) ,,26,41,33,21,19,20,2,5,20,,
FY2013,1B1-KP-KP0-434,Computer Science,2614,    Self-Supportng Exp(000) ,,22,32,21,15,15,14,1,2,14,,
FY2013,1B1-KP-KP0-434,Computer Science,2616,    Fed Work Study Exp(000) ,,4,10,12,6,4,6,1,4,5,,
FY2013,1B1-KP-KP0-434,Computer Science,2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2000,Orig State/Tuition Bdgt(000) ,694,697,625,671,670,690,624,622,611,592,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2015,  St Budget - Constant $000 ,296,306,283,310,312,326,306,312,318,318,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2050,    Acad Salary Budget ,490,493,421,471,439,430,197,186,181,169,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2060,    Asst Salary Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2070,    Non-Ac Salaries Budget ,204,204,204,200,230,249,236,229,223,217,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2080,    Wage Budget ,0,0,0,0,0,11,60,70,70,70,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2090,    Summer Wages Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2100,    Expense & Equip Bdgt ,0,0,0,0,0,0,131,136,136,136,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2530,  State/Tuition Exp   (000) ,,1033,694,1433,757,758,876,638,724,891,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2534,      Instruction     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2535,      Research        (000) ,,763,537,305,242,234,189,31,106,114,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2536,      Public Service  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2537,      Academic Support(000) ,,270,158,1128,515,524,687,606,619,777,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2539,      Institutl Supprt(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2550,  Institutional Exp   (000) ,,1583,596,289,290,528,277,246,104,117,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2553,    ICR Direct Exp    (000) ,,1582,591,289,290,528,277,246,104,117,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2554,    Royalty/Patent Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2555,    Educ/Admn Allw Exp(000) ,,1,5,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2570,  Grants & Contr Exp  (000) ,,5446,4490,3870,2803,1441,475,84,45,100,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2573,    G&C Federal Exp   (000) ,,4908,4061,3531,2426,1336,374,34,6,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2574,    G&C Illinois Exp  (000) ,,0,0,4,53,10,35,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2575,    G&C Pvt & Othr Exp(000) ,,538,428,335,324,95,66,49,39,100,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2590,  Gifts & Endwmnt Exp (000) ,,218,4,35,10,81,50,-5,101,54,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2594,    Gifts Exp         (000) ,,218,4,35,10,81,50,-5,101,54,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2596,    Endowment Exp     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2610,  SelfS/FWS/LandGr Exp(000) ,,28,18,17,11,1,2,12,14,1,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2614,    Self-Supportng Exp(000) ,,28,17,17,11,1,2,12,14,1,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2616,    Fed Work Study Exp(000) ,,0,1,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-487,Microelectronics Lab,2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2000,Orig State/Tuition Bdgt(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2015,  St Budget - Constant $000 ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2050,    Acad Salary Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2060,    Asst Salary Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2070,    Non-Ac Salaries Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2080,    Wage Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2090,    Summer Wages Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2100,    Expense & Equip Bdgt ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2530,  State/Tuition Exp   (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2534,      Instruction     (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2535,      Research        (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2536,      Public Service  (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2537,      Academic Support(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2538,      Student Svcs    (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2539,      Institutl Supprt(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2540,      O&M of Plant    (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2541,      Schol&Fellwshps (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2542,      Other NACUBOs   (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2550,  Institutional Exp   (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2553,    ICR Direct Exp    (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2554,    Royalty/Patent Exp(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2555,    Educ/Admn Allw Exp(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2570,  Grants & Contr Exp  (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2573,    G&C Federal Exp   (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2574,    G&C Illinois Exp  (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2575,    G&C Pvt & Othr Exp(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2590,  Gifts & Endwmnt Exp (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2594,    Gifts Exp         (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2596,    Endowment Exp     (000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2610,  SelfS/FWS/LandGr Exp(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2614,    Self-Supportng Exp(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2616,    Fed Work Study Exp(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-545,Engineering Courses,2617,    Land Grant App Exp(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-602,Engineering General,2000,Orig State/Tuition Bdgt(000) ,18939,23309,18122,12310,8662,8546,9071,8733,6199,5089,,
FY2013,1B1-KP-KP0-602,Engineering General,2015,  St Budget - Constant $000 ,8090,10241,8196,5681,4034,4037,4444,4388,3234,2735,,
FY2013,1B1-KP-KP0-602,Engineering General,2050,    Acad Salary Budget ,1898,4624,4119,3952,3848,3087,3295,3807,2751,1740,,
FY2013,1B1-KP-KP0-602,Engineering General,2060,    Asst Salary Budget ,9610,9716,9716,7246,4557,3520,3619,3626,2497,1506,,
FY2013,1B1-KP-KP0-602,Engineering General,2070,    Non-Ac Salaries Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2080,    Wage Budget ,57,57,57,57,57,57,57,85,85,85,,
FY2013,1B1-KP-KP0-602,Engineering General,2090,    Summer Wages Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2100,    Expense & Equip Bdgt ,7374,8912,4231,1056,200,1883,2100,1214,867,1759,,
FY2013,1B1-KP-KP0-602,Engineering General,2530,  State/Tuition Exp   (000) ,,7714,8695,518,1014,1016,1190,1155,1124,826,,
FY2013,1B1-KP-KP0-602,Engineering General,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-602,Engineering General,2534,      Instruction     (000) ,,280,316,307,315,226,273,198,159,147,,
FY2013,1B1-KP-KP0-602,Engineering General,2535,      Research        (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2536,      Public Service  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2537,      Academic Support(000) ,,7434,8379,211,483,555,683,774,766,546,,
FY2013,1B1-KP-KP0-602,Engineering General,2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2539,      Institutl Supprt(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2540,      O&M of Plant    (000) ,,0,0,0,216,235,234,183,199,133,,
FY2013,1B1-KP-KP0-602,Engineering General,2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2550,  Institutional Exp   (000) ,,6070,-369,2904,2924,1350,1162,128,297,750,,
FY2013,1B1-KP-KP0-602,Engineering General,2553,    ICR Direct Exp    (000) ,,6070,,2904,2924,1281,900,128,297,750,,
FY2013,1B1-KP-KP0-602,Engineering General,2554,    Royalty/Patent Exp(000) ,,0,,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2555,    Educ/Admn Allw Exp(000) ,,0,,0,0,69,262,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2570,  Grants & Contr Exp  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2573,    G&C Federal Exp   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2574,    G&C Illinois Exp  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2575,    G&C Pvt & Othr Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2590,  Gifts & Endwmnt Exp (000) ,,0,0,230,9,4,-1,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2594,    Gifts Exp         (000) ,,0,0,230,9,4,-1,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2596,    Endowment Exp     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2610,  SelfS/FWS/LandGr Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2614,    Self-Supportng Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2616,    Fed Work Study Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-602,Engineering General,2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2000,Orig State/Tuition Bdgt(000) ,3190,3184,2959,2991,2990,3012,2793,2298,2227,2201,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2015,  St Budget - Constant $000 ,1363,1399,1338,1380,1393,1423,1368,1155,1161,1183,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2050,    Acad Salary Budget ,2852,2846,2627,2569,2564,2534,2480,2125,1969,1901,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2060,    Asst Salary Budget ,212,212,206,284,293,289,182,77,163,158,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2070,    Non-Ac Salaries Budget ,125,125,125,125,120,119,61,40,39,87,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2080,    Wage Budget ,0,0,0,13,13,49,49,27,27,27,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2090,    Summer Wages Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2100,    Expense & Equip Bdgt ,0,0,0,0,0,21,21,29,29,29,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2530,  State/Tuition Exp   (000) ,,3655,3201,3013,3096,2996,2839,2619,2553,2348,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2534,      Instruction     (000) ,,3588,3138,2968,3056,2926,2774,2588,2528,2311,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2535,      Research        (000) ,,0,0,0,0,0,0,0,0,6,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2536,      Public Service  (000) ,,0,0,0,0,2,3,6,4,5,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2537,      Academic Support(000) ,,67,63,44,40,64,54,25,20,23,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2538,      Student Svcs    (000) ,,0,0,0,0,3,8,0,0,2,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2539,      Institutl Supprt(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2550,  Institutional Exp   (000) ,,530,481,492,584,579,372,318,528,459,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2553,    ICR Direct Exp    (000) ,,515,476,487,560,568,371,314,507,454,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2554,    Royalty/Patent Exp(000) ,,2,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2555,    Educ/Admn Allw Exp(000) ,,13,5,5,25,12,1,4,21,5,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2570,  Grants & Contr Exp  (000) ,,3566,4194,4289,3336,3045,2833,3743,3131,2706,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2573,    G&C Federal Exp   (000) ,,3208,3593,3870,2876,2782,2711,3703,2955,2582,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2574,    G&C Illinois Exp  (000) ,,0,3,15,21,0,0,0,0,36,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2575,    G&C Pvt & Othr Exp(000) ,,358,597,404,438,263,122,40,175,89,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2590,  Gifts & Endwmnt Exp (000) ,,181,218,162,44,-9,66,99,87,-162,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2594,    Gifts Exp         (000) ,,145,196,142,68,49,87,115,88,-161,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2596,    Endowment Exp     (000) ,,36,22,20,-25,-59,-21,-16,-1,-1,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2610,  SelfS/FWS/LandGr Exp(000) ,,104,214,45,49,36,-369,-4,-30,28,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2614,    Self-Supportng Exp(000) ,,104,214,45,49,36,-371,-6,-31,28,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2616,    Fed Work Study Exp(000) ,,0,0,0,0,0,1,1,2,1,,
FY2013,1B1-KP-KP0-615,Aerospace Engineering,2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2000,Orig State/Tuition Bdgt(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2015,  St Budget - Constant $000 ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2050,    Acad Salary Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2060,    Asst Salary Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2070,    Non-Ac Salaries Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2080,    Wage Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2090,    Summer Wages Budget ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2100,    Expense & Equip Bdgt ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2530,  State/Tuition Exp   (000) ,,29,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2534,      Instruction     (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2535,      Research        (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2536,      Public Service  (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2537,      Academic Support(000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2538,      Student Svcs    (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2539,      Institutl Supprt(000) ,,29,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2540,      O&M of Plant    (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2541,      Schol&Fellwshps (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2542,      Other NACUBOs   (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2550,  Institutional Exp   (000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2553,    ICR Direct Exp    (000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2554,    Royalty/Patent Exp(000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2555,    Educ/Admn Allw Exp(000) ,,0,,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2570,  Grants & Contr Exp  (000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2573,    G&C Federal Exp   (000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2574,    G&C Illinois Exp  (000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2575,    G&C Pvt & Othr Exp(000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2590,  Gifts & Endwmnt Exp (000) ,,2,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2594,    Gifts Exp         (000) ,,2,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2596,    Endowment Exp     (000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2610,  SelfS/FWS/LandGr Exp(000) ,,6,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2614,    Self-Supportng Exp(000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2616,    Fed Work Study Exp(000) ,,6,0,,,,,,,,,
FY2013,1B1-KP-KP0-661,Engineering IT Shared Svcs,2617,    Land Grant App Exp(000) ,,0,0,,,,,,,,,
FY2013,1B1-KP-KP0-697,Engineering Honors,2000,Orig State/Tuition Bdgt(000) ,,,,,,,,,,,,
FY2013,1B1-KP-KP0-697,Engineering Honors,2015,  St Budget - Constant $000 ,,,,,,,,,,,,
